Canaster Winter Scotch,Bigfoot 2001,0.9999999999999998
Canaster Winter Scotch,Canaster Winter Scotch,0.9999999999999998
Canaster Winter Scotch,Alto tevere goldie,0.7071067811865475
Canaster Winter Scotch,Ornery Amber Lager,0.7071067811865475
Canaster Winter Scotch,Flemish Primitive Wild Ale (Demon Fish),0.7071067811865475
Canaster Winter Scotch,Furious Beer,0.7071067811865475
Canaster Winter Scotch,Guerilla,0.4999999999999999
Canaster Winter Scotch,Bigfoot 2002,0.408248290463863
Aegir Kveite,Peroni,1.0
Aegir Kveite,Aegir Kveite,1.0
Aegir Kveite,Zinnebir,1.0
Aegir Kveite,Guerilla,0.7071067811865475
Aegir Kveite,Cow Palace Scotch Ale 1998,0.7071067811865475
Cow Palace Scotch Ale 1998,Cow Palace Scotch Ale 1998,0.9999999999999998
Cow Palace Scotch Ale 1998,Peroni,0.7071067811865475
Cow Palace Scotch Ale 1998,Aegir Kveite,0.7071067811865475
Cow Palace Scotch Ale 1998,Zinnebir,0.7071067811865475
Cow Palace Scotch Ale 1998,Guerilla,0.4999999999999999
Bigfoot 2001,Bigfoot 2001,0.9999999999999998
Bigfoot 2001,Canaster Winter Scotch,0.9999999999999998
Bigfoot 2001,Alto tevere goldie,0.7071067811865475
Bigfoot 2001,Ornery Amber Lager,0.7071067811865475
Bigfoot 2001,Flemish Primitive Wild Ale (Demon Fish),0.7071067811865475
Bigfoot 2001,Furious Beer,0.7071067811865475
Bigfoot 2001,Guerilla,0.4999999999999999
Bigfoot 2001,Bigfoot 2002,0.408248290463863
Bigfoot 2002,Bigfoot 2002,1.0000000000000002
Bigfoot 2002,Phantasmagoria,0.816496580927726
Bigfoot 2002,Alto tevere goldie,0.5773502691896258
Bigfoot 2002,Blonde,0.5773502691896258
Bigfoot 2002,Flemish Primitive Wild Ale (Demon Fish),0.5773502691896258
Bigfoot 2002,Zinnebir Xmas,0.5773502691896258
Bigfoot 2002,Furious Beer,0.5773502691896258
Bigfoot 2002,Guerilla,0.408248290463863
Bigfoot 2002,Bigfoot 2001,0.408248290463863
Bigfoot 2002,Canaster Winter Scotch,0.408248290463863
Alto tevere goldie,Alto tevere goldie,1.0
Alto tevere goldie,Flemish Primitive Wild Ale (Demon Fish),1.0
Alto tevere goldie,Furious Beer,1.0
Alto tevere goldie,Guerilla,0.7071067811865475
Alto tevere goldie,Bigfoot 2001,0.7071067811865475
Alto tevere goldie,Canaster Winter Scotch,0.7071067811865475
Alto tevere goldie,Bigfoot 2002,0.5773502691896258
Guerilla,Guerilla,0.9999999999999998
Guerilla,Peroni,0.7071067811865475
Guerilla,Aegir Kveite,0.7071067811865475
Guerilla,Alto tevere goldie,0.7071067811865475
Guerilla,Flemish Primitive Wild Ale (Demon Fish),0.7071067811865475
Guerilla,Zinnebir,0.7071067811865475
Guerilla,Furious Beer,0.7071067811865475
Guerilla,Cow Palace Scotch Ale 1998,0.4999999999999999
Guerilla,Bigfoot 2001,0.4999999999999999
Guerilla,Canaster Winter Scotch,0.4999999999999999
Guerilla,Bigfoot 2002,0.408248290463863
Phantasmagoria,Phantasmagoria,0.9999999999999998
Phantasmagoria,Bigfoot 2002,0.816496580927726
Phantasmagoria,Blonde,0.7071067811865475
Phantasmagoria,Zinnebir Xmas,0.7071067811865475
Bigfoot 2005,Nastro Azzurro,1.0
Bigfoot 2005,Bigfoot 2005,1.0
Ornery Amber Lager,Ornery Amber Lager,1.0
Ornery Amber Lager,Bigfoot 2001,0.7071067811865475
Ornery Amber Lager,Canaster Winter Scotch,0.7071067811865475
Blonde,Blonde,1.0
Blonde,Zinnebir Xmas,1.0
Blonde,Phantasmagoria,0.7071067811865475
Blonde,Bigfoot 2002,0.5773502691896258
Flemish Primitive Wild Ale (Demon Fish),Alto tevere goldie,1.0
Flemish Primitive Wild Ale (Demon Fish),Flemish Primitive Wild Ale (Demon Fish),1.0
Flemish Primitive Wild Ale (Demon Fish),Furious Beer,1.0
Flemish Primitive Wild Ale (Demon Fish),Guerilla,0.7071067811865475
Flemish Primitive Wild Ale (Demon Fish),Bigfoot 2001,0.7071067811865475
Flemish Primitive Wild Ale (Demon Fish),Canaster Winter Scotch,0.7071067811865475
Flemish Primitive Wild Ale (Demon Fish),Bigfoot 2002,0.5773502691896258
Witkap-Pater Tripel,Witkap-Pater Tripel,1.0
Peroni,Peroni,1.0
Peroni,Aegir Kveite,1.0
Peroni,Zinnebir,1.0
Peroni,Guerilla,0.7071067811865475
Peroni,Cow Palace Scotch Ale 1998,0.7071067811865475
Nastro Azzurro,Nastro Azzurro,1.0
Nastro Azzurro,Bigfoot 2005,1.0
Zinnebir Xmas,Blonde,1.0
Zinnebir Xmas,Zinnebir Xmas,1.0
Zinnebir Xmas,Phantasmagoria,0.7071067811865475
Zinnebir Xmas,Bigfoot 2002,0.5773502691896258
Zinnebir,Peroni,1.0
Zinnebir,Aegir Kveite,1.0
Zinnebir,Zinnebir,1.0
Zinnebir,Guerilla,0.7071067811865475
Zinnebir,Cow Palace Scotch Ale 1998,0.7071067811865475
Furious Beer,Alto tevere goldie,1.0
Furious Beer,Flemish Primitive Wild Ale (Demon Fish),1.0
Furious Beer,Furious Beer,1.0
Furious Beer,Guerilla,0.7071067811865475
Furious Beer,Bigfoot 2001,0.7071067811865475
Furious Beer,Canaster Winter Scotch,0.7071067811865475
Furious Beer,Bigfoot 2002,0.5773502691896258
